Disease,medications,procedures,specialist
hepatitis a,"Supportive care | Antiemetics if needed | Vitamin supplements","Liver function tests | Hepatitis A antibody testing | Ultrasound if indicated","Hepatologist or Gastroenterologist"
aids,"Antiretroviral therapy (ART) | Combination of NRTIs, NNRTIs, and PIs | Prophylactic medications for opportunistic infections","CD4 count monitoring | Viral load testing | Regular health checkups","Infectious Disease Specialist"
chronic cholestasis,"Ursodeoxycholic acid 13-15mg/kg daily | Cholestyramine 4g 1-6 times daily | Vitamin supplements (A, D, E, K)","Liver function tests | Ultrasound of liver | ERCP if needed","Hepatologist"
drug reaction,"Antihistamines (e.g., Diphenhydramine 25-50mg every 4-6 hours) | Corticosteroids (e.g., Prednisone 20-60mg daily) | Topical treatments as needed","Allergy testing | Skin patch testing | Drug challenge test","Allergist or Dermatologist"
peptic ulcer diseae,"Proton pump inhibitors (e.g., Omeprazole 20-40mg daily) | H2 blockers (e.g., Ranitidine 150mg twice daily) | Antibiotics if H. pylori positive","Endoscopy | H. pylori testing | Biopsy if needed","Gastroenterologist"
cervical spondylosis,"NSAIDs (e.g., Ibuprofen 400-800mg three times daily) | Muscle relaxants (e.g., Cyclobenzaprine 5-10mg three times daily) | Physical therapy","X-ray of cervical spine | MRI if needed | Nerve conduction studies","Orthopedic Surgeon or Neurologist"
paralysis (brain hemorrhage),"Blood pressure control medications | Anticoagulants if needed | Anti-seizure medications if indicated","CT scan | MRI | Angiography","Neurologist or Neurosurgeon"
heart attack,"Aspirin 325mg immediately | Nitroglycerin 0.4mg sublingual every 5 minutes | Beta blockers (e.g., Metoprolol 25-100mg twice daily) | Statins (e.g., Atorvastatin 40-80mg daily)","Emergency ECG | Cardiac catheterization | Coronary angiography | Cardiac stress test","Cardiologist (Emergency) | Cardiac Surgeon if needed"
pneumonia,"Antibiotics (e.g., Azithromycin 500mg daily or Levofloxacin 750mg daily) | Bronchodilators if needed | Oxygen therapy if required","Chest X-ray | Sputum culture | Blood tests | Pulse oximetry","Pulmonologist or Infectious Disease Specialist"
arthritis,"NSAIDs (e.g., Ibuprofen 400-800mg three times daily) | DMARDs (e.g., Methotrexate 7.5-25mg weekly) | Corticosteroids if needed","Joint X-rays | Blood tests for inflammation | Joint aspiration if needed","Rheumatologist"
tuberculosis,"Isoniazid 300mg daily | Rifampin 600mg daily | Pyrazinamide 15-30mg/kg daily | Ethambutol 15-20mg/kg daily","Chest X-ray | Sputum culture | TB skin test | Interferon-gamma release assay","Infectious Disease Specialist or Pulmonologist"
chicken pox,"Antiviral (e.g., Acyclovir 800mg five times daily) | Antihistamines for itching | Calamine lotion","Clinical diagnosis | Blood tests if needed | Viral culture in severe cases","Primary Care Physician or Pediatrician"
impetigo,"Topical antibiotics (e.g., Mupirocin 2% ointment) | Oral antibiotics if severe (e.g., Cephalexin 250-500mg four times daily)","Skin swab for culture | Clinical examination","Dermatologist or Primary Care Physician"
hypothyroidism,"Levothyroxine 25-200mcg daily | Regular dose adjustments based on TSH levels","TSH testing | T4 testing | Thyroid ultrasound if needed","Endocrinologist"
hyperthyroidism,"Methimazole 5-60mg daily | Propranolol 10-40mg three times daily | Radioactive iodine therapy if needed","TSH testing | T3/T4 testing | Thyroid scan | Radioactive iodine uptake test","Endocrinologist"
urinary tract infection,"Trimethoprim-sulfamethoxazole 160/800mg twice daily | Nitrofurantoin 100mg twice daily | Ciprofloxacin 250-500mg twice daily","Urine culture | Urinalysis | Ultrasound if recurrent","Urologist or Primary Care Physician"
varicose veins,"Compression stockings | Venoactive drugs (e.g., Diosmin 500mg twice daily) | Sclerotherapy if needed","Doppler ultrasound | Venography if needed | Duplex scanning","Vascular Surgeon"
fungal infection,"Antifungal creams (e.g., Clotrimazole 1% twice daily) | Oral antifungals if severe (e.g., Fluconazole 150-400mg daily)","Skin scraping for KOH test | Fungal culture | Wood's lamp examination","Dermatologist"
hepatitis b,"Tenofovir 300mg daily | Entecavir 0.5-1mg daily | Interferon therapy if indicated","Liver function tests | HBV DNA testing | Liver biopsy if needed","Hepatologist"
hepatitis c,"Direct-acting antivirals (e.g., Sofosbuvir/Velpatasvir 400/100mg daily) | Ribavirin if needed","Liver function tests | HCV RNA testing | Genotype testing","Hepatologist"
hepatitis d,"Pegylated interferon alpha | Antiviral therapy | Liver transplant if severe","Liver function tests | HDV RNA testing | Liver biopsy","Hepatologist"
hepatitis e,"Supportive care | Ribavirin in severe cases | Liver transplant if needed","Liver function tests | HEV RNA testing | Ultrasound","Hepatologist" 
